variant_id,proxy_pnl,day_0_proxy_pnl,day_1_proxy_pnl,day_2_proxy_pnl,min_day_proxy_pnl,positive_days,trade_count,unit_count,mean_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h100_l10_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,142.52582865546324,22.362112645825476,39.427381248314475,80.73633476132329,22.362112645825476,3,166,332,0.6877177388870158,0.2,0.008,100,10.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p015_h100_l10_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,140.96356036834166,22.346693202472327,37.96556959975736,80.65129756611198,22.346693202472327,3,167,334,0.6761273209549072,0.2,0.015,100,10.0,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p015_h100_l10_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,140.96356036834166,22.346693202472327,37.96556959975736,80.65129756611198,22.346693202472327,3,167,334,0.6761273209549072,0.2,0.015,100,10.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p03_h100_l10_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,140.5207586381773,21.858318195228023,38.13591467729964,80.52652576564964,21.858318195228023,3,169,338,0.671416561580496,0.2,0.03,100,10.0,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p03_h100_l10_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,140.5207586381773,21.858318195228023,38.13591467729964,80.52652576564964,21.858318195228023,3,169,338,0.671416561580496,0.2,0.03,100,10.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p2_m1_clip1_pos20_dh20_hi300_hc60,157.89128667347524,21.736470258009206,54.783408761129905,81.37140765433611,21.736470258009206,3,322,322,0.6656893868658574,0.2,0.008,400,10.0,0.98,0.2,1.0,1,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p2_m1_clip1_pos40_dh20_hi300_hc60,157.89128667347524,21.736470258009206,54.783408761129905,81.37140765433611,21.736470258009206,3,322,322,0.6656893868658574,0.2,0.008,400,10.0,0.98,0.2,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,143.594286193793,21.225033440943864,41.18188366293483,81.18736908991433,21.225033440943864,3,173,346,0.6794354838709676,0.2,0.008,100,0.1,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,143.594286193793,21.225033440943864,41.18188366293483,81.18736908991433,21.225033440943864,3,173,346,0.6794354838709676,0.2,0.008,100,0.1,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h100_l1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,141.27359925723266,21.225033440943864,38.86119672637448,81.18736908991433,21.225033440943864,3,172,344,0.6773202009518773,0.2,0.008,100,1.0,0.98,0.2,1.0,2,20,20,300,60
