product,side,thr,total,product_total,rc,size,err
VEV_5500,1,0.625,962974.0,175.0,0,93909,
VEV_5500,1,0.75,962974.0,175.0,0,93908,
VEV_5500,1,0.875,962974.0,175.0,0,93909,
VEV_5500,1,1,962974.0,175.0,0,93905,
VEV_5500,1,1.125,962880.0,81.0,0,93909,
VEV_5500,1,1.25,962880.0,81.0,0,93908,
VEV_5500,1,1.5,962880.0,81.0,0,93907,
VEV_5500,1,1.75,962880.0,81.0,0,93908,
VEV_5500,1,2,962880.0,81.0,0,93905,
VEV_5500,1,2.25,962840.0,41.0,0,93908,
VEV_5500,1,2.5,962840.0,41.0,0,93907,
VEV_5500,1,3,962840.0,41.0,0,93905,
VEV_5500,1,4,962840.0,41.0,0,93905,
VEV_5500,1,5,962840.0,41.0,0,93905,
