product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
SLEEP_POD_COTTON,sleep,crossing_high_edge,SLEEP_POD_COTTON:static_fair,"{""threshold"": 14.070279999999999, ""fair"": 11527.614, ""mult"": 1.4}",11503.0,306.0,7084.0,18893.0,6297.666666666667,4604.84833867764,3,15150.0,2290.0,744.9997999533113,10.0502,29666,0.0,233.29524652620083
ROBOT_LAUNDRY,robot,basket_residual,ROBOT_LAUNDRY:ridge_robot,"{""threshold"": 319.63243913200483, ""mult"": 1.0, ""resid_std"": 319.632}",2778.0,4446.5,208.0,7432.5,2477.5,1743.3580144843074,3,5655.5,4690.0,463.1191149077239,7.165066666666666,10865,0.0,128.7972905852001
UV_VISOR_YELLOW,visor,participant_flow,UV_VISOR_YELLOW:flow_0.9,"{""threshold"": 6.954983333333334, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.909966666666667,0,0.0,0.0
UV_VISOR_YELLOW,visor,participant_flow,UV_VISOR_YELLOW:flow_0.9,"{""threshold"": 13.909966666666667, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.909966666666667,0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,participant_flow,GALAXY_SOUNDS_SOLAR_FLAMES:flow_0.9,"{""threshold"": 14.071533333333333, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.071533333333333,0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,participant_flow,GALAXY_SOUNDS_SOLAR_FLAMES:flow_0.9,"{""threshold"": 7.0357666666666665, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.071533333333333,0,0.0,0.0
UV_VISOR_MAGENTA,visor,participant_flow,UV_VISOR_MAGENTA:flow_0.97,"{""threshold"": 14.0916, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0916,0,0.0,0.0
OXYGEN_SHAKE_GARLIC,oxygen,participant_flow,OXYGEN_SHAKE_GARLIC:flow_0.99,"{""threshold"": 15.0546, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0546,0,0.0,0.0
SNACKPACK_CHOCOLATE,snack,participant_flow,SNACKPACK_CHOCOLATE:flow_0.9,"{""threshold"": 8.235583333333334, ""decay"": 0.9, ""mult"": 0.5}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.47116666666667,0,0.0,0.0
SNACKPACK_CHOCOLATE,snack,participant_flow,SNACKPACK_CHOCOLATE:flow_0.9,"{""threshold"": 16.47116666666667, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.47116666666667,0,0.0,0.0
SNACKPACK_CHOCOLATE,snack,participant_flow,SNACKPACK_CHOCOLATE:flow_0.97,"{""threshold"": 16.47116666666667, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.47116666666667,0,0.0,0.0
SNACKPACK_CHOCOLATE,snack,participant_flow,SNACKPACK_CHOCOLATE:flow_0.99,"{""threshold"": 16.47116666666667, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.47116666666667,0,0.0,0.0
