variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,traded_qty,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
gamma_a0p015_w0p7_rho0p2_e0p015_pe0_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,-255.0,-2022.0,371.0,1396.0,-85.0,1432.1622347578736,-2022.0,2,-0.05935081790109557,310,2760,0.015,0.7,0.2,0.015,0.0,0.02,0.005,0.0,1.0,8,120,20,300,60,3.0,8
gamma_a0p015_w0p7_rho0p2_e0p015_pe0_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh3_gm8,-255.0,-2022.0,371.0,1396.0,-85.0,1432.1622347578736,-2022.0,2,-0.05935081790109557,310,2760,0.015,0.7,0.2,0.015,0.0,0.02,0.005,0.0,1.25,8,120,20,300,60,3.0,8
gamma_a0p015_w0p7_rho0p2_e0p015_pe1_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,-255.0,-2022.0,371.0,1396.0,-85.0,1432.1622347578736,-2022.0,2,-0.05935081790109557,310,2760,0.015,0.7,0.2,0.015,1.0,0.02,0.005,0.0,1.0,8,120,20,300,60,3.0,8
gamma_a0p015_w0p7_rho0p2_e0p015_pe1_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh3_gm8,-255.0,-2022.0,371.0,1396.0,-85.0,1432.1622347578736,-2022.0,2,-0.05935081790109557,310,2760,0.015,0.7,0.2,0.015,1.0,0.02,0.005,0.0,1.25,8,120,20,300,60,3.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,111.5,-2028.0,538.0,1601.5,37.166666666666664,1523.4703986476256,-2028.0,2,0.024396054363533985,575,2755,0.015,0.85,0.2,0.035,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,111.5,-2028.0,538.0,1601.5,37.166666666666664,1523.4703986476256,-2028.0,2,0.024396054363533985,575,2755,0.015,0.85,0.2,0.035,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe1_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,111.5,-2028.0,538.0,1601.5,37.166666666666664,1523.4703986476256,-2028.0,2,0.024396054363533985,575,2755,0.015,0.85,0.2,0.035,1.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p035_pe1_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,111.5,-2028.0,538.0,1601.5,37.166666666666664,1523.4703986476256,-2028.0,2,0.024396054363533985,575,2755,0.015,0.85,0.2,0.035,1.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0_e0p035_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,-47.0,-2033.0,537.0,1449.0,-15.666666666666666,1474.2594374427076,-2033.0,2,-0.010626804393283644,579,2755,0.015,0.85,0.0,0.035,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8
gamma_a0p015_w0p85_rho0_e0p035_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh3_gm8,-47.0,-2033.0,537.0,1449.0,-15.666666666666666,1474.2594374427076,-2033.0,2,-0.010626804393283644,579,2755,0.015,0.85,0.0,0.035,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,3.0,8
