feature,target,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,day_2_ic,day_3_ic,day_4_ic
trade_qty,target_revert_5,-0.00322765707465077,0.00322765707465077,-0.0057508343412806156,-0.0005075403119303747,1,-0.0034245965707413203,-0.0005075403119303747,-0.0057508343412806156
xcat_pebbles_ret_1,target_5,-0.003218246558435981,0.003218246558435981,-0.004937451909547322,-0.002196621662059422,1,-0.004937451909547322,-0.0025206661037012,-0.002196621662059422
xcat_oxygen_ret_5,target_5,-0.00319608852745109,0.00319608852745109,-0.0059882788243705515,-0.0008671043639735675,1,-0.002732882394009151,-0.0008671043639735675,-0.0059882788243705515
xcat_pebbles_ret_1,target_cross_sell_5,0.0031819761967206987,0.0031819761967206987,0.002421138367071623,0.004567102564656729,1,0.004567102564656729,0.002421138367071623,0.0025576876584337445
spread,target_1,-0.0031654171695753865,0.0031654171695753865,-0.005637287483907298,-0.001471583200206358,1,-0.002387380824612502,-0.005637287483907298,-0.001471583200206358
cat_resid_z_200,target_1,-0.0030722548878791152,0.0030722548878791152,-0.005608437598796535,-0.0017784739771136465,1,-0.0017784739771136465,-0.0018298530877271632,-0.005608437598796535
xcat_oxygen_ret_5,target_cross_sell_5,0.0029644564756339353,0.0029644564756339353,0.00018472016022850292,0.005861099903559873,1,0.0028475493631134304,0.00018472016022850292,0.005861099903559873
xcat_sleep_ret_5,target_cross_sell_5,-0.00278258786175224,0.00278258786175224,-0.005036863251984715,-0.0014331871800011284,1,-0.005036863251984715,-0.0014331871800011284,-0.0018777131532708763
xcat_galaxy_ret_1,target_cross_sell_5,0.002742704015600709,0.002742704015600709,0.001666721562095859,0.004742043382370744,1,0.001666721562095859,0.0018193471023355235,0.004742043382370744
xcat_uv_ret_1,target_cross_sell_5,0.0027156193987667096,0.0027156193987667096,0.001583371982610018,0.003928393500868614,1,0.001583371982610018,0.003928393500868614,0.0026350927128214975
trade_count,target_3,0.0024541021604288144,0.0024541021604288144,0.0007190639114913738,0.003932640617083927,1,0.002710601952711143,0.0007190639114913738,0.003932640617083927
xcat_sleep_ret_5,target_5,0.002379071766402938,0.002379071766402938,0.0007663058190929766,0.004874003393726261,1,0.004874003393726261,0.0007663058190929766,0.001496906086389577
trade_count,target_revert_5,-0.0023718139586117928,0.0023718139586117928,-0.004919488741539012,-0.0008444670751897294,1,-0.0008444670751897294,-0.001351486059106637,-0.004919488741539012
xcat_uv_ret_1,target_revert_5,-0.00237024540667649,0.00237024540667649,-0.005322753532748647,-0.0006113501750890138,1,-0.005322753532748647,-0.0006113501750890138,-0.0011766325121918087
depth_1,target_5,0.002178447843292368,0.002178447843292368,0.0020383937704458004,0.0023215763621505145,1,0.0023215763621505145,0.0020383937704458004,0.0021753733972807872
xcat_oxygen_ret_5,target_1,-0.00211010330017218,0.00211010330017218,-0.005586086591848407,-2.5278432452565756e-05,1,-0.005586086591848407,-2.5278432452565756e-05,-0.0007189448762155669
xcat_sleep_ret_5,target_cross_buy_5,0.001966464724260693,0.001966464724260693,9.631566705946694e-05,0.004693794817803109,1,0.004693794817803109,9.631566705946694e-05,0.0011092836879195026
depth_3,target_5,0.0019624896947938665,0.0019624896947938665,0.0011474659781142078,0.0024151685254885347,1,0.0011474659781142078,0.002324834580778857,0.0024151685254885347
trade_count,target_5,0.0018985324864376294,0.0018985324864376294,4.6606710245499404e-05,0.003197990322387621,1,0.0024510004266797684,4.6606710245499404e-05,0.003197990322387621
cat_resid,target_1,-0.0018310394948566797,0.0018310394948566797,-0.002642891156952413,-0.0004285961714197388,1,-0.002421631156197888,-0.002642891156952413,-0.0004285961714197388
trade_qty,target_3,0.0016927342246164246,0.0016927342246164246,0.0011627572737176852,0.0024029008784532653,1,0.0015125445216783227,0.0011627572737176852,0.0024029008784532653
trade_count,target_cross_buy_5,0.0016743798065832222,0.0016743798065832222,0.00031010473632119923,0.002661080627977603,1,0.0020519540554508643,0.00031010473632119923,0.002661080627977603
trade_qty,target_cross_sell_5,-0.0016417363410757516,0.0016417363410757516,-0.0027598956548878753,-0.00040844623362564934,1,-0.00175686713471373,-0.00040844623362564934,-0.0027598956548878753
xcat_uv_ret_5,target_1,0.0013271762403816488,0.0013271762403816488,0.0008040152413602437,0.0023338992165743253,1,0.0008040152413602437,0.0008436142632103774,0.0023338992165743253
vol_20,target_3,0.0012854894391044513,0.0012854894391044513,0.0007783389848347335,0.0015675305347608137,1,0.0015675305347608137,0.0007783389848347335,0.0015105987977178065
vol_100,target_3,0.0010666024449708662,0.0010666024449708662,0.0005647651080317659,0.00146435341161054,1,0.001170688815270293,0.00146435341161054,0.0005647651080317659
trade_qty,target_5,0.001052110068293132,0.001052110068293132,0.00014751666630766149,0.0019648577251637073,1,0.0010439558134080272,0.00014751666630766149,0.0019648577251637073
obi_1,target_revert_5,-0.0008516910667831917,0.0008516910667831917,-0.0017294897399551807,-0.0003926861534386154,1,-0.00043289730695577933,-0.0003926861534386154,-0.0017294897399551807
cat_resid,target_5,-0.0005823915327306311,0.0005823915327306311,-0.0009006086688254955,-2.5053329634516686e-05,1,-0.0008215125997318813,-2.5053329634516686e-05,-0.0009006086688254955
ret_1,target_1,-0.015479879682085189,0.015692258478331247,-0.033144861557741406,0.00031856819436908417,0,-0.013613345682883245,0.00031856819436908417,-0.033144861557741406
ret_10,target_cross_buy_5,-0.006968762568964078,0.008821958097016106,-0.016924913022282686,0.0027797932920780406,0,-0.006761167976687591,0.0027797932920780406,-0.016924913022282686
ret_10,target_5,-0.006201086056470079,0.00856850304537294,-0.016179262081533204,0.003551125483354291,0,-0.005975121571231325,0.003551125483354291,-0.016179262081533204
ret_10,target_3,-0.006480181709560103,0.008387143668876223,-0.012741308697357078,0.0028604429389741783,0,-0.00955967937029741,0.0028604429389741783,-0.012741308697357078
ret_10,target_cross_sell_5,0.00540648863666521,0.008278607930567733,-0.004308178940853782,0.015360103111592456,0,0.005167541739256958,-0.004308178940853782,0.015360103111592456
ret_200,target_5,-0.00801289753333497,0.008274295895870983,-0.014537594478962003,0.0003920975438040213,0,0.0003920975438040213,-0.009893195664846925,-0.014537594478962003
ret_20,target_1,-0.004581658953614373,0.00824022813928012,-0.01923283063934174,0.003765918485818245,0,0.003765918485818245,0.0017219352926803747,-0.01923283063934174
ret_50,target_1,-0.002028292204688458,0.0074879659410027844,-0.014274387218536863,0.004795073965008425,0,0.004795073965008425,0.003394436639463064,-0.014274387218536863
ret_5,target_1,-0.006121009614909036,0.007430125726196401,-0.020326703011658155,0.0016408620582338872,0,0.00032281210869716033,0.0016408620582338872,-0.020326703011658155
ret_5,target_cross_sell_5,0.003611500817626899,0.007237558021258367,-0.0047968312454748025,0.0162735882583279,0,-0.0006422545599723996,-0.0047968312454748025,0.0162735882583279
ret_5,target_cross_buy_5,-0.004839168459712935,0.007217363958271689,-0.017610411571369885,0.0035672932478381316,0,-0.0004743870556070501,0.0035672932478381316,-0.017610411571369885
xcat_robot_ret_1,target_3,-0.006429247160167497,0.007217224777753225,-0.015412020152493574,0.0011819664263785917,0,0.0011819664263785917,-0.00505768775438751,-0.015412020152493574
ret_5,target_5,-0.004235362467302039,0.007085021971338766,-0.016980576657961207,0.004190479151819251,0,8.401010423583707e-05,0.004190479151819251,-0.016980576657961207
ret_200,target_cross_sell_5,0.0048537955260130085,0.007063973540250855,-0.0033152670213567703,0.011028795088216418,0,-0.0033152670213567703,0.0068478585111793775,0.011028795088216418
ret_10,target_1,-0.002574290507826879,0.007027794876997177,-0.014403128077236083,0.003893706207938811,0,0.002786550345816635,0.003893706207938811,-0.014403128077236083
cat_ret_1_ex,target_3,-0.003383435668112817,0.007006857668739023,-0.009293638594079503,0.005435133000939309,0,0.005435133000939309,-0.006291801411198258,-0.009293638594079503
vol_20,target_cross_buy_5,-0.0037765424969437625,0.006984462594703548,-0.009411631629321505,0.004811880146639679,0,0.004811880146639679,-0.006729876008149461,-0.009411631629321505
z_50,target_1,-0.004232394773245353,0.006596007297721665,-0.016242603106450527,0.002332715514470076,0,0.002332715514470076,0.0012127032722443944,-0.016242603106450527
ret_500,target_1,-0.004900953977869845,0.006518724185263424,-0.009505425192653866,0.0024266553110903672,0,-0.007624092052046038,-0.009505425192653866,0.0024266553110903672
ret_50,target_3,-0.006199009813235039,0.006234955416361238,-0.015512113833900708,5.391840468929994e-05,0,-0.0031388340104937075,5.391840468929994e-05,-0.015512113833900708
cat_resid,target_revert_5,0.0008486785293503706,0.006084383418219684,-0.004826535325630701,0.010399592921355082,0,-0.004826535325630701,-0.003027022007673269,0.010399592921355082
