split,product,feature_set,model,ic,sign_accuracy,n_trades_proxy,proxy_edge_sum
train_d2_test_d3d4,SNACKPACK_RASPBERRY,no_orderbook,ridge_linear,0.024640594684680623,0.5055027513756879,96,-588.5
train_d2_test_d3d4,SNACKPACK_RASPBERRY,no_zscore,ridge_linear,0.026247628680352107,0.5070035017508754,122,-139.0
train_d2_test_d3d4,SNACKPACK_RASPBERRY,no_category,ridge_linear,0.03276317258678602,0.49299649824912456,77,52.0
train_d2_test_d3d4,SNACKPACK_RASPBERRY,local_only,ridge_linear,0.015245438534803852,0.5010005002501251,2,-18.5
train_d2d3_test_d4,GALAXY_SOUNDS_DARK_MATTER,no_orderbook,ridge_linear,0.030936918013801693,0.4927463731865933,92,-411.5
train_d2d3_test_d4,GALAXY_SOUNDS_DARK_MATTER,no_zscore,ridge_linear,0.03331270003468001,0.4932466233116558,202,-549.0
train_d2d3_test_d4,GALAXY_SOUNDS_DARK_MATTER,no_category,ridge_linear,-0.00607753371508239,0.48874437218609307,37,71.5
train_d2d3_test_d4,GALAXY_SOUNDS_DARK_MATTER,local_only,ridge_linear,0.0013255299424196252,0.49524762381190596,0,0.0
train_d2d3_test_d4,GALAXY_SOUNDS_BLACK_HOLES,no_orderbook,ridge_linear,0.004225973051543189,0.48624312156078037,22,-299.5
train_d2d3_test_d4,GALAXY_SOUNDS_BLACK_HOLES,no_zscore,ridge_linear,0.04047806205185112,0.5087543771885943,29,-97.5
train_d2d3_test_d4,GALAXY_SOUNDS_BLACK_HOLES,no_category,ridge_linear,-0.02332894107359376,0.4842421210605303,25,-108.5
train_d2d3_test_d4,GALAXY_SOUNDS_BLACK_HOLES,local_only,ridge_linear,-0.02971257808953468,0.4747373686843422,3,34.5
train_d2d3_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,no_orderbook,ridge_linear,-0.01153887777097253,0.46973486743371684,75,-459.5
