split,product,threshold_mult,n_trades_proxy,proxy_edge_sum,proxy_edge_mean
loo_test_d4,GALAXY_SOUNDS_DARK_MATTER,1.5,35,-67.0,-1.9142857142857144
loo_test_d4,GALAXY_SOUNDS_BLACK_HOLES,0.5,354,-1842.5,-5.204802259887006
loo_test_d4,GALAXY_SOUNDS_BLACK_HOLES,0.75,101,-746.0,-7.3861386138613865
loo_test_d4,GALAXY_SOUNDS_BLACK_HOLES,1.0,40,-193.5,-4.8375
loo_test_d4,GALAXY_SOUNDS_BLACK_HOLES,1.25,21,-61.5,-2.9285714285714284
loo_test_d4,GALAXY_SOUNDS_BLACK_HOLES,1.5,12,-135.0,-11.25
loo_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,0.5,490,-3181.5,-6.492857142857143
loo_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,0.75,197,-643.5,-3.266497461928934
loo_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.0,97,-400.0,-4.123711340206185
loo_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.25,52,265.5,5.105769230769231
loo_test_d4,GALAXY_SOUNDS_PLANETARY_RINGS,1.5,37,186.5,5.04054054054054
loo_test_d4,GALAXY_SOUNDS_SOLAR_WINDS,0.5,218,-1145.0,-5.252293577981652
loo_test_d4,GALAXY_SOUNDS_SOLAR_WINDS,0.75,67,-64.0,-0.9552238805970149
loo_test_d4,GALAXY_SOUNDS_SOLAR_WINDS,1.0,35,-55.0,-1.5714285714285714
loo_test_d4,GALAXY_SOUNDS_SOLAR_WINDS,1.25,19,72.5,3.8157894736842106
loo_test_d4,GALAXY_SOUNDS_SOLAR_WINDS,1.5,11,62.5,5.681818181818182
loo_test_d4,GALAXY_SOUNDS_SOLAR_FLAMES,0.5,345,-2727.5,-7.905797101449275
loo_test_d4,GALAXY_SOUNDS_SOLAR_FLAMES,0.75,112,-721.5,-6.441964285714286
loo_test_d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.0,46,-221.5,-4.815217391304348
loo_test_d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.25,30,-195.0,-6.5
loo_test_d4,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,21,-69.0,-3.2857142857142856
loo_test_d4,SLEEP_POD_SUEDE,0.5,1024,-4977.5,-4.86083984375
loo_test_d4,SLEEP_POD_SUEDE,0.75,638,-3392.0,-5.316614420062696
loo_test_d4,SLEEP_POD_SUEDE,1.0,379,-1403.0,-3.7018469656992083
loo_test_d4,SLEEP_POD_SUEDE,1.25,199,-516.0,-2.592964824120603
loo_test_d4,SLEEP_POD_SUEDE,1.5,103,-290.0,-2.8155339805825244
loo_test_d4,SLEEP_POD_LAMB_WOOL,0.5,763,-3426.5,-4.490825688073395
loo_test_d4,SLEEP_POD_LAMB_WOOL,0.75,396,-2034.5,-5.137626262626263
loo_test_d4,SLEEP_POD_LAMB_WOOL,1.0,204,-1065.5,-5.223039215686274
