signal,product,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
premium_rolling_z,VEV_4500,10,2.0,1,490,-4.997959183673469,-2449.0,0.17142857142857143,-22.66200805589831
premium_rolling_z,VEV_4500,10,2.0,2,497,-5.393360160965795,-2680.5,0.1448692152917505,-25.00779287570107
premium_rolling_z,VEV_4500,10,2.0,3,504,-4.027777777777778,-2030.0,0.21031746031746032,-18.36005466857719
premium_rolling_z,VEV_4500,10,2.5,1,304,-3.161184210526316,-961.0,0.27631578947368424,-11.181678363540504
premium_rolling_z,VEV_4500,10,2.5,2,287,-3.3257839721254356,-954.5,0.2508710801393728,-11.922290804995285
premium_rolling_z,VEV_4500,10,2.5,3,323,-2.0588235294117645,-665.0,0.32507739938080493,-7.968533758978811
premium_rolling_z,VEV_4500,20,1.0,1,895,-6.278770949720671,-5619.5,0.10726256983240223,-36.173503200379145
premium_rolling_z,VEV_4500,20,1.0,2,912,-6.462719298245614,-5894.0,0.09978070175438597,-36.856023061545145
premium_rolling_z,VEV_4500,20,1.0,3,928,-5.867456896551724,-5445.0,0.1400862068965517,-31.410778036358316
premium_rolling_z,VEV_4500,20,1.5,1,694,-5.785302593659942,-4015.0,0.1340057636887608,-28.313298548892103
premium_rolling_z,VEV_4500,20,1.5,2,714,-6.027310924369748,-4303.5,0.12324929971988796,-29.640396946749423
premium_rolling_z,VEV_4500,20,1.5,3,714,-5.281512605042017,-3771.0,0.16946778711484595,-24.209715218345064
premium_rolling_z,VEV_4500,20,2.0,1,490,-4.957142857142857,-2429.0,0.1816326530612245,-19.528997362420405
premium_rolling_z,VEV_4500,20,2.0,2,496,-5.069556451612903,-2514.5,0.1774193548387097,-20.177002798013643
premium_rolling_z,VEV_4500,20,2.0,3,504,-4.052579365079365,-2042.5,0.23214285714285715,-15.19681998530533
premium_rolling_z,VEV_4500,20,2.5,1,304,-3.161184210526316,-961.0,0.28289473684210525,-9.54085267734299
premium_rolling_z,VEV_4500,20,2.5,2,286,-3.0839160839160837,-882.0,0.27972027972027974,-9.265919192388653
premium_rolling_z,VEV_4500,20,2.5,3,323,-1.9736842105263157,-637.5,0.35294117647058826,-6.060641418713539
