day,timestamp,cash,equity,gross_exposure,drawdown,stopped,open_positions,max_abs_position
3,338400,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,338800,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,339200,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,339300,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,339400,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,339500,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,340300,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,340800,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,340900,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,341000,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,341300,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,341500,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,341600,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,341800,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,342100,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,342300,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,342500,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,342700,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,342900,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,343400,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,343500,-6369.0,-6369.0,0.0,30496.0,1,1,8
3,343600,-6285.0,-6315.0,30.0,30442.0,1,1,4
3,344100,-6285.0,-6285.0,0.0,30412.0,1,1,4
3,344800,-6393.0,-6329.0,64.0,30456.0,1,1,8
3,345400,-6393.0,-6393.0,0.0,30520.0,1,1,8
3,345500,-6321.0,-6329.5,8.5,30456.5,1,1,1
3,345600,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,345900,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,346100,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,346200,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,346300,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,346800,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,346900,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,347600,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,347700,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,347800,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348000,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348100,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348400,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348600,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348700,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,348800,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,349100,-6321.0,-6321.0,0.0,30448.0,1,1,1
3,349400,-6405.0,-6333.5,71.5,30460.5,1,1,11
3,350200,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,350300,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,350400,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,350500,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,351100,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,351200,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,351400,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,351500,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,351600,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,352400,-6333.0,-6339.5,6.5,30466.5,1,1,1
3,352500,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,352600,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,352800,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353000,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353100,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353200,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353400,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,353900,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354100,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354200,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354400,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354500,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354600,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,354700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,355100,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,355200,-6405.0,-6344.5,60.5,30471.5,1,1,11
3,355300,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,355400,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,355900,-6405.0,-6405.0,0.0,30532.0,1,1,11
3,356100,-6333.0,-6339.5,6.5,30466.5,1,1,1
3,356500,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,356600,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,356700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357200,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357300,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357400,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357600,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357800,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,357900,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,358100,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,358200,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,358500,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,358700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359000,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359100,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359400,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359500,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359600,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359700,-6333.0,-6333.0,0.0,30460.0,1,1,1
3,359800,-6417.0,-6345.5,71.5,30472.5,1,1,11
3,360000,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,361000,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,361100,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,361200,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,361600,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,361800,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,362600,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,363100,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,363200,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,363800,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,363900,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,364100,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,364200,-6417.0,-6417.0,0.0,30544.0,1,1,11
3,364400,-6345.0,-6351.5,6.5,30478.5,1,1,1
3,365000,-6345.0,-6345.0,0.0,30472.0,1,1,1
3,365600,-6429.0,-6357.5,71.5,30484.5,1,1,11
3,365800,-6429.0,-6429.0,0.0,30556.0,1,1,11
3,366100,-6357.0,-6364.0,7.0,30491.0,1,1,1
3,366200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,366300,-6441.0,-6369.5,71.5,30496.5,1,1,11
3,366600,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,366700,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,366800,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,366900,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,367000,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,367100,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,367300,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,367500,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,367600,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,369000,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,369300,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,369400,-6441.0,-6441.0,0.0,30568.0,1,1,11
3,369900,-6357.0,-6364.5,7.5,30491.5,1,1,1
3,370100,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,370400,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,370900,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,371200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,371300,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,371400,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,371600,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,372200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,372600,-6453.0,-6370.5,82.5,30497.5,1,1,11
3,373000,-6453.0,-6453.0,0.0,30580.0,1,1,11
3,373200,-6453.0,-6453.0,0.0,30580.0,1,1,11
3,373500,-6453.0,-6453.0,0.0,30580.0,1,1,11
3,373600,-6453.0,-6453.0,0.0,30580.0,1,1,11
3,373800,-6357.0,-6365.5,8.5,30492.5,1,1,1
3,374000,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,374200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,374500,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,375300,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,375400,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,375800,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376000,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376100,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376600,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376700,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,376800,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,377100,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,377200,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,377400,-6357.0,-6357.0,0.0,30484.0,1,1,1
3,377500,-6465.0,-6371.5,93.5,30498.5,1,1,11
3,377700,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,377900,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,378000,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,378200,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,378300,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,378600,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,378800,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,379000,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,379200,-6465.0,-6465.0,0.0,30592.0,1,1,11
3,379500,-6357.0,-6366.5,9.5,30493.5,1,1,1
3,379600,-6477.0,-6372.5,104.5,30499.5,1,1,11
3,379700,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,379800,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,380200,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,380300,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,380400,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,380600,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,380700,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,381300,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,381500,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,381700,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,381800,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,382000,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,382200,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,382600,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,382800,-6477.0,-6477.0,0.0,30604.0,1,1,11
