leader,follower,h,days,n,corr_mean,corr_min,corr_max,edge_mean,edge_min,edge_max,same_sign_corr,same_sign_edge,score
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ASTRO_BLACK,20,3,730,-0.0536778700926786,-0.05928954501237108,-0.046736549823505225,-5.073808372385223,-8.272803666921314,-2.347008547008547,True,True,1.6831761219936023
UV_VISOR_RED,UV_VISOR_RED,200,3,712,-0.00247123952258439,-0.024736644156111494,0.01639582740324487,5.565155207652329,-12.163264469585178,20.270487264673314,False,False,1.676960280863452
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,100,3,722,0.027370306323151763,-0.026001193749373406,0.0781221882718047,5.121702368978974,-8.967867943548388,16.61204481792717,False,False,1.618621629663147
SNACKPACK_RASPBERRY,SNACKPACK_RASPBERRY,20,3,730,-0.06300084290533876,-0.10971839127380399,-0.0019755729849112403,-4.742145076442989,-7.6295905707196034,-2.83231474407945,True,True,1.611646051648913
PANEL_2X2,PANEL_2X2,200,3,712,-0.01844191874740055,-0.02606959793580794,-0.006312302761046966,-5.161388988141581,-12.712329890145925,-0.0055717054263566546,True,True,1.603742452684676
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,50,3,727,0.04635774135907796,0.011750835064128978,0.07160206662882854,4.740726857546161,-1.226279602750191,8.976494123530882,True,False,1.5612912813410822
ROBOT_LAUNDRY,ROBOT_LAUNDRY,100,3,722,-0.02008198268879309,-0.06313205176494181,0.012513194933576477,-4.962010269851662,-16.896164830681357,7.383694556451612,False,False,1.548849029021878
SNACKPACK_CHOCOLATE,SNACKPACK_CHOCOLATE,200,3,712,-0.03385873105126763,-0.10778409280661984,0.05800067234192388,-4.776024859283178,-11.348560354374307,7.619486801114936,False,False,1.5343836509387563
ROBOT_MOPPING,ROBOT_MOPPING,10,3,731,0.05552243499590221,-0.048269804731584876,0.1254872280201252,4.508342020278735,-0.6107196450707901,8.015584415584415,False,False,1.5190699110713273
PEBBLES_L,PEBBLES_L,200,3,631,0.020737989791099396,-0.031379650098315705,0.12452317211280535,4.8464204890416624,-22.288339920948616,40.18877551020408,False,False,1.5161401160857968
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_GRAPHITE_MIST,100,3,722,-0.027106356481441673,-0.04360175373826425,-0.015458751974265,-4.717130338130106,-6.187474500203997,-3.4072128851540615,True,True,1.4964581708833569
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,20,3,730,-0.020377425415355522,-0.09751673047890838,0.05606530236084202,-4.77757230119659,-10.51923076923077,3.1820473644003053,False,False,1.4944039666050435
MICROCHIP_CIRCLE,MICROCHIP_CIRCLE,100,3,563,0.01697889150966322,-0.029713741975537278,0.10883572428611875,4.699536628929582,-3.062602291325696,13.331297043743863,False,False,1.4607976632078643
MICROCHIP_TRIANGLE,MICROCHIP_TRIANGLE,100,3,563,0.03676510512764673,-0.08601633903203608,0.10626163540261131,4.4577980950516904,-37.01025459688826,26.55399803643504,False,False,1.4476347438984474
UV_VISOR_RED,UV_VISOR_RED,100,3,722,0.023991075454327077,-0.010080452140703185,0.04278758615253445,4.581088126224586,-0.6839045287637706,12.52898185483871,False,False,1.4462996642303567
TRANSLATOR_SPACE_GRAY,TRANSLATOR_SPACE_GRAY,20,3,730,-0.05361559356019945,-0.11667552027052389,0.002147737114438031,-4.277623629094218,-12.360007639419404,-0.171153846153846,False,True,1.4441338694088637
TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE,200,3,712,-0.025364184328612805,-0.1195344501949773,0.07492807247895551,-4.3544690810742965,-25.446151716500555,25.844582479508198,False,False,1.3824332773081274
