sym,i1,i3,total,d1,d2,d3,rc,path
VEV_5200,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i3m1p0.py
VEV_5300,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i1m0p25_i3m1p0.py
VEV_5400,-0.25,-1.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i3m1p5.py
VEV_5400,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i1m0p25_i3m1p0.py
VEV_5500,-0.5,-2.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i3m2p0.py
VEV_5500,-0.5,-1.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i3m1p5.py
VEV_5500,-0.5,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i3m1p0.py
VEV_5500,-0.5,-0.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i3m0p5.py
VEV_5500,-0.5,0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i30.py
VEV_5500,-0.5,0.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i30p5.py
VEV_5500,-0.5,1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p5_i31p0.py
VEV_5500,-0.25,-2.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i3m2p0.py
VEV_5500,-0.25,-1.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i3m1p5.py
VEV_5500,-0.25,-1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i3m1p0.py
VEV_5500,-0.25,-0.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i3m0p5.py
VEV_5500,-0.25,0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i30.py
VEV_5500,-0.25,0.5,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i30p5.py
VEV_5500,-0.25,1.0,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5500_i1m0p25_i31p0.py
VELVETFRUIT_EXTRACT,-0.25,-1.5,741038.0,273101.0,203897.0,264040.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i1m0p25_i3m1p5.py
VEV_5300,0.25,-0.5,741036.0,272806.0,204209.0,264021.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10p25_i3m0p5.py
VEV_4500,0.25,-2.0,741032.0,273155.0,203659.0,264218.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10p25_i3m2p0.py
VEV_4500,0.25,-1.5,741032.0,273155.0,203659.0,264218.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV4500_i10p25_i3m1p5.py
VEV_5200,-0.25,-0.5,741031.0,273033.0,203926.0,264072.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5200_i1m0p25_i3m0p5.py
